Company Name,Domain,Website,City,Country,Founded Year,Revenue,Employee Growth (6mo),LinkedIn URL
375ai,375.ai,http://www.375.ai,London,United Kingdom,2022,N/A,-0.1176470588235294,http://www.linkedin.com/company/375-ai
3DEC,3dec.co.uk,http://www.3dec.co.uk,London,United Kingdom,2011,N/A,0.0,http://www.linkedin.com/company/3dec-ltd
Accelex,accelex.ai,http://www.accelex.ai,London,United Kingdom,2018,3M,-0.3125,http://www.linkedin.com/company/accelextech
Accountancy Cloud,accountancycloud.com,http://www.accountancycloud.com,London,United Kingdom,2014,N/A,0.0,http://www.linkedin.com/company/accountancycloud
Acre,acresoftware.com,http://www.acresoftware.com,London,United Kingdom,2018,2M,0.0,http://www.linkedin.com/company/acresoftware
Adapt (a Datapipe company),adapt.com,http://www.adapt.com,London,United Kingdom,2001,55.9M,0.0,http://www.linkedin.com/company/adapt
Adclear,adclear.ai,http://www.adclear.ai,London,United Kingdom,2024,N/A,N/A,http://www.linkedin.com/company/adclear-ai
AG Grid,ag-grid.com,http://www.ag-grid.com,London,United Kingdom,2015,1M,0.0,http://www.linkedin.com/company/ag-grid
Agio Ratings,agioratings.io,http://www.agioratings.io,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/agio-ratings
Ahauz,ahauz.com,http://www.ahauz.com,London,United Kingdom,2019,5M,0.0,http://www.linkedin.com/company/ahauz
Aibuild,ai-build.com,http://www.ai-build.com,London,United Kingdom,2015,1M,0.0,http://www.linkedin.com/company/ai-build
ai.io,ai.io,http://www.ai.io,London,United Kingdom,N/A,N/A,0.1875,http://www.linkedin.com/company/ai-io
Aibly,aibly.io,http://www.aibly.io,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/aibly
AI Score,aiscore.ai,http://www.aiscore.ai,London,United Kingdom,N/A,N/A,N/A,http://www.linkedin.com/company/ai-score-ai
Aisthesis Medical,aisthesismed.com,http://www.aisthesismed.com,London,United Kingdom,2022,N/A,N/A,http://www.linkedin.com/company/aisthesis-medical
Artificial Intelligence Venture Builder,aivb.ai,http://www.aivb.ai,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/aivb
Allica Bank,allica.bank,http://www.allica.bank,London,United Kingdom,2019,368M,0.1063829787234043,http://www.linkedin.com/company/allicabank
Allocation Strategy,allocation-strategy.com,http://www.allocation-strategy.com,London,United Kingdom,2024,N/A,N/A,http://www.linkedin.com/company/allocation-strategy
All Things,allthingsbutter.co.uk,http://www.allthingsbutter.co.uk,London,United Kingdom,N/A,500K,0.0,http://www.linkedin.com/company/all-things-dairy
Allye,allye.com,http://www.allye.com,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/allye-energy
Alt21,alt21.com,http://www.alt21.com,London,United Kingdom,2016,15M,0.25,http://www.linkedin.com/company/alt21
Alvie Health,alviehealth.com,http://www.alviehealth.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/alviehealth
Always Further,alwaysfurther.ai,http://www.alwaysfurther.ai,London,United Kingdom,2025,N/A,N/A,http://www.linkedin.com/company/alwaysfurther
Amey Group,amey.co.uk,http://www.amey.co.uk,London,United Kingdom,1921,2.5B,-0.01149425287356322,http://www.linkedin.com/company/amey
AMP Clean Energy,ampcleanenergy.com,http://www.ampcleanenergy.com,London,United Kingdom,2006,33M,0.0,http://www.linkedin.com/company/ampcleanenergy
Amplified Global™,amplified.global,http://www.amplified.global,London,United Kingdom,2017,N/A,0.0,http://www.linkedin.com/company/amplifiglobal
AmplifyME,amplifyme.com,http://www.amplifyme.com,London,United Kingdom,2009,398K,0.05555555555555555,http://www.linkedin.com/company/amplifymeofficial
ANNA Money,anna.money,http://www.anna.money,London,United Kingdom,2017,40M,0.02631578947368421,http://www.linkedin.com/company/annamoneyuk
Apex Rides,apexrides.com,http://www.apexrides.com,London,United Kingdom,2019,10M,0.0,http://www.linkedin.com/company/apex-rides
APEXX Global,apexx.global,http://www.apexx.global,London,United Kingdom,2016,1.7M,0.1228070175438596,http://www.linkedin.com/company/apexxglobal
AppFactor,appfactor.io,http://www.appfactor.io,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/appfactor
Appian Capital Advisory,appiancapitaladvisory.com,http://www.appiancapitaladvisory.com,London,United Kingdom,2011,10M,0.03636363636363636,http://www.linkedin.com/company/appian-capital-advisory
Arco Cyber,arcocyber.com,http://www.arcocyber.com,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/arco-cyber
dot.,arctechinnovation.com,http://www.arctechinnovation.com,London,United Kingdom,2015,N/A,0.0,http://www.linkedin.com/company/arctech-innovation
Arcus Infrastructure Partners LLP,arcusip.com,http://www.arcusip.com,London,United Kingdom,2009,115M,1.0,http://www.linkedin.com/company/arcus-infrastructure-partners-llp
ARKK,arkk.com,http://www.arkk.com,London,United Kingdom,2009,10M,0.0,http://www.linkedin.com/company/arkksolutions
Artificial Labs,artificial.io,http://www.artificial.io,London,United Kingdom,2013,5.6M,0.0,http://www.linkedin.com/company/artificiallabs
Ascension,ascension.vc,http://www.ascension.vc,London,United Kingdom,2015,N/A,-0.1428571428571428,http://www.linkedin.com/company/ascensionvc
Dragonfly,askdragonfly.com,http://www.askdragonfly.com,London,United Kingdom,2025,N/A,0.0,http://www.linkedin.com/company/askdragonfly
Astarte Capital Partners LLP,astartecp.com,http://www.astartecp.com,London,United Kingdom,2015,N/A,0.0,http://www.linkedin.com/company/astarte-capital-partners
Atlantica Sustainable Infrastructure Ltd,atlantica.com,http://www.atlantica.com,London,United Kingdom,2014,1.1B,0.01204819277108434,http://www.linkedin.com/company/atlantica-sustainable-infrastructure
Atlantic House,atlantichousegroup.com,http://www.atlantichousegroup.com,London,United Kingdom,2008,N/A,0.0,http://www.linkedin.com/company/atlantic-house-fund-management
AtlasEdge,atlasedge.com,http://www.atlasedge.com,London,United Kingdom,2021,13M,0.0,http://www.linkedin.com/company/atlasedge
Atom CTO,atomcto.com,http://www.atomcto.com,London,United Kingdom,2017,N/A,0.0,http://www.linkedin.com/company/atomctoltd
August Equity,augustequity.com,http://www.augustequity.com,London,United Kingdom,2001,6.1M,-1.0,http://www.linkedin.com/company/augustequity
Autman Robotics,aut-man.com,http://www.aut-man.com,London,United Kingdom,2024,N/A,1.5,http://www.linkedin.com/company/autman-robotics
Avenir LNG,avenirlng.com,http://www.avenirlng.com,London,United Kingdom,2018,16.5M,0.6666666666666666,http://www.linkedin.com/company/avenir-lng
Aventur,aventur.co.uk,http://www.aventur.co.uk,London,United Kingdom,N/A,N/A,0.0,http://www.linkedin.com/company/weareaventuruk
Axon Diagnostics,axondiagnostics.com,http://www.axondiagnostics.com,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/axondiagnostics
Azumi Restaurant Group,azumirestaurants.com,http://www.azumirestaurants.com,London,United Kingdom,2002,255M,0.1081081081081081,http://www.linkedin.com/company/azumi-limited
BACKED VC,backed.vc,http://www.backed.vc,London,United Kingdom,2015,2M,0.0,http://www.linkedin.com/company/backed-vc
Barchester Healthcare,barchester.com,http://www.barchester.com,London,United Kingdom,1992,1.2B,-0.025,http://www.linkedin.com/company/barchester-healthcare
BASMA.com,basma.com,http://www.basma.com,London,United Kingdom,2021,3.4M,-0.02666666666666667,http://www.linkedin.com/company/basma
BBC Maestro,bbcmaestro.com,http://www.bbcmaestro.com,London,United Kingdom,2011,1.5M,0.0,http://www.linkedin.com/company/bbc-maestro
Becrypt,becrypt.com,http://www.becrypt.com,London,United Kingdom,2001,11.8M,0.0,http://www.linkedin.com/company/becrypt
Bedrock Platform,bedrockplatform.com,http://www.bedrockplatform.com,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/bedrock-platform
OnHand • the impact platform,beonhand.co.uk,http://www.beonhand.co.uk,London,United Kingdom,2019,1.2M,0.0,http://www.linkedin.com/company/beonhand
BeyondMath,beyondmath.com,http://www.beyondmath.com,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/beyondmath
BioOrbit,bioorbit.space,http://www.bioorbit.space,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/bioorbit
BirdsEyeView,birdseyeview.ai,http://www.birdseyeview.ai,London,United Kingdom,2020,2.5M,0.0,http://www.linkedin.com/company/birdseyeviewtechnologies
Bladonmore,bladonmore.com,http://www.bladonmore.com,London,United Kingdom,2002,12.7M,0.0,http://www.linkedin.com/company/bladonmore
Bleap,bleap.finance,http://www.bleap.finance,London,United Kingdom,N/A,N/A,2.0,http://www.linkedin.com/company/bleapapp
Bluewater Bio,bluewaterbio.com,http://www.bluewaterbio.com,London,United Kingdom,2007,4.6M,0.06666666666666667,http://www.linkedin.com/company/bluewater-bio
BMLL,bmlltech.com,http://www.bmlltech.com,London,United Kingdom,2014,17.7M,0.2,http://www.linkedin.com/company/bmll
Bolt Insight,boltinsight.com,http://www.boltinsight.com,London,United Kingdom,2018,2.5M,0.2727272727272727,http://www.linkedin.com/company/boltinsight
Bonhams,bonhams.com,http://www.bonhams.com,London,United Kingdom,1793,221M,-0.01748251748251748,http://www.linkedin.com/company/bonhams
Pebble,bookpebble.co.uk,http://www.bookpebble.co.uk,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/book-pebble-uk
Borough Broth | B Corp™,boroughbroth.co.uk,http://www.boroughbroth.co.uk,London,United Kingdom,2015,1.1M,N/A,http://www.linkedin.com/company/borough-broth
Bourn,bourn.ai,http://www.bourn.ai,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/bournai
Bracket,bracket.co.uk,http://www.bracket.co.uk,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/bracket-group
Braincup Media,braincupmedia.com,http://www.braincupmedia.com,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/braincupmedia
Brain-Life,brainlife.ai,http://www.brainlife.ai,London,United Kingdom,2024,N/A,0.4444444444444444,http://www.linkedin.com/company/brain-life
BrainsparkGames,brainsparkgames.com,http://www.brainsparkgames.com,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/brainsparkgames
Brite,britedrinks.com,http://www.britedrinks.com,London,United Kingdom,2016,N/A,0.0,http://www.linkedin.com/company/britedrinks
British Design Fund,britishdesignfund.co.uk,http://www.britishdesignfund.co.uk,London,United Kingdom,2016,N/A,0.0,http://www.linkedin.com/company/britishdesignfund
Broadgate,broadgateconsultants.com,http://www.broadgateconsultants.com,London,United Kingdom,2008,N/A,0.0,http://www.linkedin.com/company/broadgate-consultants-ltd
Broadwick,broadwicklive.com,http://www.broadwicklive.com,London,United Kingdom,2010,64.3M,0.0,http://www.linkedin.com/company/broadwickgroup
BTD Consulting,btd.consulting,http://www.btd.consulting,London,United Kingdom,2001,N/A,-0.3333333333333333,http://www.linkedin.com/company/btdconsult
Built AI,builtai.co,http://www.builtai.co,London,United Kingdom,2021,2M,0.0,http://www.linkedin.com/company/builtai
Bumper,bumper.co,http://www.bumper.co,London,United Kingdom,2013,15M,0.1666666666666667,http://www.linkedin.com/company/bumperpay
Burgess,burgessyachts.com,http://www.burgessyachts.com,London,United Kingdom,1975,190.1M,0.05042016806722689,http://www.linkedin.com/company/burgess%e2%80%8eyachts
Calitii,calitii.com,http://www.calitii.com,London,United Kingdom,2023,N/A,0.09090909090909091,http://www.linkedin.com/company/calitii
Candyspace,candyspace.com,http://www.candyspace.com,London,United Kingdom,2005,10M,0.0,http://www.linkedin.com/company/candyspace-media
Captide,captide.ai,http://www.captide.ai,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/captide
Captur,captur.ai,http://www.captur.ai,London,United Kingdom,2023,2M,0.0,http://www.linkedin.com/company/captur-ai
Carnot Engines,carnotengines.com,http://www.carnotengines.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/carnot-engines-uk
Cartalogic,cartalogic.co.uk,http://www.cartalogic.co.uk,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/cartalogic
Cassava Technologies,cassavatechnologies.com,http://www.cassavatechnologies.com,London,United Kingdom,2021,4M,0.05797101449275362,http://www.linkedin.com/company/cassavatechnologies
CATCHES,catches.ai,http://www.catches.ai,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/catches
CBCX,cbcx.com,http://www.cbcx.com,London,United Kingdom,2010,N/A,0.0,http://www.linkedin.com/company/cbcxgroup
Centauri Therapeutics Limited,centauritherapeutics.com,http://www.centauritherapeutics.com,London,United Kingdom,2014,7.6M,0.0,http://www.linkedin.com/company/centauri-therapeutics-limited
CharterSync,chartersync.com,http://www.chartersync.com,London,United Kingdom,2017,N/A,0.0,http://www.linkedin.com/company/chartersync
CheMastery Group Ltd,chemastery.com,http://www.chemastery.com,London,United Kingdom,2019,830K,0.0,http://www.linkedin.com/company/chemastery
Clarke Banks Group,clarkebanks.com,http://www.clarkebanks.com,London,United Kingdom,2013,N/A,0.0,http://www.linkedin.com/company/clarke-banks-group-limited
Clean Planet Energy,cleanplanet.com,http://www.cleanplanet.com,London,United Kingdom,2018,N/A,0.0,http://www.linkedin.com/company/clean-planet-energy
Cloud Consulting,cloudconsultings.com,http://www.cloudconsultings.com,London,United Kingdom,N/A,N/A,0.0,http://www.linkedin.com/company/cloud-consulting-company
Cloud Cycle Ltd,cloudcycle.com,http://www.cloudcycle.com,London,United Kingdom,2018,N/A,0.0,http://www.linkedin.com/company/cloudcycle
Clove,clove.com,http://www.clove.com,London,United Kingdom,2025,N/A,N/A,http://www.linkedin.com/company/clovefi
CNH,cnh.com,http://www.cnh.com,London,United Kingdom,2012,17.8B,0.002325040688212044,http://www.linkedin.com/company/cnh
ComCab London,comcab.com,http://www.comcab.com,London,United Kingdom,1958,18.5M,N/A,http://www.linkedin.com/company/comcablondon
CoMind,comind.io,http://www.comind.io,London,United Kingdom,2018,N/A,0.3333333333333333,http://www.linkedin.com/company/comindtechnologies
Cosi Care,cosi-care.com,http://www.cosi-care.com,London,United Kingdom,2019,N/A,N/A,http://www.linkedin.com/company/cosi-care
Côte Restaurants,cote.co.uk,http://www.cote.co.uk,London,United Kingdom,2007,182M,-0.08333333333333333,http://www.linkedin.com/company/c-te-brasserie
CrawlJobs,crawljobs.com,http://www.crawljobs.com,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/crawljobs
Creative Media,creativemediax.com,http://www.creativemediax.com,London,United Kingdom,2000,N/A,0.01351351351351351,http://www.linkedin.com/company/creative-media-x
Creed,creedfragrances.co.uk,http://www.creedfragrances.co.uk,London,United Kingdom,1760,401M,0.06481481481481481,http://www.linkedin.com/company/creedfragrances
Crossover,crossover-av.com,http://www.crossover-av.com,London,United Kingdom,2008,N/A,-0.05263157894736842,http://www.linkedin.com/company/crossover-av
CRU Kafe,crukafe.com,http://www.crukafe.com,London,United Kingdom,2013,3M,0.0,http://www.linkedin.com/company/cru-kafe
Crunch,crunch.info,http://www.crunch.info,London,United Kingdom,2008,N/A,0.0,http://www.linkedin.com/company/crunch-communications
CUR8,cur8.earth,http://www.cur8.earth,London,United Kingdom,2022,1M,0.0,http://www.linkedin.com/company/cur8earth
Curvestone AI,curvestone.io,http://www.curvestone.io,London,United Kingdom,2017,N/A,0.0,http://www.linkedin.com/company/curvestone
Clearwater UW Limited,cw-uw.com,http://www.cw-uw.com,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/clearwater-uw
CYB3R,cyb3r.group,http://www.cyb3r.group,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/cyb3rgroup
CYB3R OPERATIONS,cyb3roperations.com,http://www.cyb3roperations.com,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/cyb3roperations
Cyberseer,cyberseer.net,http://www.cyberseer.net,London,United Kingdom,2014,1.5M,0.0,http://www.linkedin.com/company/cyberseer
Cynosure Talent,cynosuretalent.com,http://www.cynosuretalent.com,London,United Kingdom,2023,N/A,N/A,http://www.linkedin.com/company/cynosuretalent
Dashly,dashly.com,http://www.dashly.com,London,United Kingdom,2018,N/A,0.0,http://www.linkedin.com/company/dashly
DASH Rides,dashrides.com,http://www.dashrides.com,London,United Kingdom,2019,1.2M,N/A,http://www.linkedin.com/company/dash-rides-limited
Dataline Labs,datalinelabs.com,http://www.datalinelabs.com,London,United Kingdom,N/A,N/A,N/A,http://www.linkedin.com/company/dataline-labs
Datavid,datavid.com,http://www.datavid.com,London,United Kingdom,2018,N/A,0.01333333333333333,http://www.linkedin.com/company/datavid
hati,datewithhati.com,http://www.datewithhati.com,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/datewithhati
Datox,datox.ai,http://www.datox.ai,London,United Kingdom,2023,N/A,0.06666666666666667,http://www.linkedin.com/company/datox-ai
DealFlowAgent.com,dealflowagent.com,http://www.dealflowagent.com,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/dealflowagent
Deblock,deblock.com,http://www.deblock.com,London,United Kingdom,2022,N/A,0.09523809523809523,http://www.linkedin.com/company/deblock
Deep Render,deeprender.ai,http://www.deeprender.ai,London,United Kingdom,2018,N/A,0.0,http://www.linkedin.com/company/deeprenderltd
Delancey,delancey.com,http://www.delancey.com,London,United Kingdom,1995,10M,0.0,http://www.linkedin.com/company/delancey
Depop,depop.com,http://www.depop.com,London,United Kingdom,2011,128M,-0.01338621715418939,http://www.linkedin.com/company/depop
Detected,detected.co,http://www.detected.co,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/detected
Dexters,dexters.co.uk,http://www.dexters.co.uk,London,United Kingdom,1993,298M,-0.05882352941176471,http://www.linkedin.com/company/dexters-estate-agents
Disperse,disperse.io,http://www.disperse.io,London,United Kingdom,2015,48.3M,-0.03448275862068965,http://www.linkedin.com/company/disperse-io
DOPS DIGITAL,dopsdigital.com,http://www.dopsdigital.com,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/dops-digital
Alliantist Limited,dragonflyai.co,http://www.dragonflyai.co,London,United Kingdom,2018,1.4M,0.1666666666666667,http://www.linkedin.com/company/dragonflyai-co
TRIP,drink-trip.com,http://www.drink-trip.com,London,United Kingdom,2019,100M,0.2352941176470588,http://www.linkedin.com/company/tripdrinks
Living Things Soda,drinklivingthings.com,http://www.drinklivingthings.com,London,United Kingdom,2023,N/A,N/A,http://www.linkedin.com/company/living-things-soda
Driven Worldwide,drivenworldwide.com,http://www.drivenworldwide.com,London,United Kingdom,2000,2.6M,0.0,http://www.linkedin.com/company/driven-worldwide
Dwelly,dwelly.group,http://www.dwelly.group,London,United Kingdom,2023,N/A,0.1176470588235294,http://www.linkedin.com/company/dwellygroup
Early,earlyhealth.com,http://www.earlyhealth.com,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/early-health-limited
Echopoint Medical Ltd,echopointmedical.com,http://www.echopointmedical.com,London,United Kingdom,2018,900K,0.0,http://www.linkedin.com/company/echopoint-medical-ltd
Electric Twin,electrictwin.com,http://www.electrictwin.com,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/electric-twin
Electron,electron.net,http://www.electron.net,London,United Kingdom,2015,2.5M,0.0,http://www.linkedin.com/company/electron-grid
James & Ella,ella.co,http://www.ella.co,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/ella-co
El Rayo Tequila,elrayotequila.com,http://www.elrayotequila.com,London,United Kingdom,2018,N/A,0.0,http://www.linkedin.com/company/el-rayo-tequila
embracent,embracent.com,http://www.embracent.com,London,United Kingdom,2015,N/A,0.0,http://www.linkedin.com/company/embracent
Eneba,eneba.com,http://www.eneba.com,London,United Kingdom,2018,57.1M,0.225,http://www.linkedin.com/company/enebagames
Engitix Therapeutics,engitix.com,http://www.engitix.com,London,United Kingdom,2016,N/A,0.0,http://www.linkedin.com/company/engitix-limited
English Cheesecake Company | B Corp Certified,englishcheesecake.com,http://www.englishcheesecake.com,London,United Kingdom,1993,2.9M,0.0,http://www.linkedin.com/company/the-english-cheesecake-company
Enthuse,enthuse.com,http://www.enthuse.com,London,United Kingdom,2012,76K,0.0,http://www.linkedin.com/company/enthuseco
epetōme,epetome.com,http://www.epetome.com,London,United Kingdom,2023,N/A,N/A,http://www.linkedin.com/company/epetome
eStoreBrands,estorebrands.com,http://www.estorebrands.com,London,United Kingdom,2009,1M,0.0,http://www.linkedin.com/company/estorebrands
Eversholt UK Rails Group,eversholtrail.co.uk,http://www.eversholtrail.co.uk,London,United Kingdom,1994,455M,-1.0,http://www.linkedin.com/company/eversholt-rail
Evocon,evocon.com,http://www.evocon.com,London,United Kingdom,2010,4M,0.0,http://www.linkedin.com/company/evocon-o-
Interoute,exainfra.net,http://www.exainfra.net,London,United Kingdom,2021,662.5M,0.0,http://www.linkedin.com/company/interoute
Expedition Growth Capital,expedition.capital,http://www.expedition.capital,London,United Kingdom,2020,N/A,0.2,http://www.linkedin.com/company/expeditiongrowthcapital
EyeQuant,eyequant.com,http://www.eyequant.com,London,United Kingdom,2009,3.1M,0.0,http://www.linkedin.com/company/eyequant
Falkin,falkin.com,http://www.falkin.com,London,United Kingdom,N/A,N/A,N/A,http://www.linkedin.com/company/falkin-ai
Fanvue,fanvue.com,http://www.fanvue.com,London,United Kingdom,2021,N/A,0.3076923076923077,http://www.linkedin.com/company/fanvue
Financial Edge Training,fe.training,http://www.fe.training,London,United Kingdom,2016,N/A,0.0,http://www.linkedin.com/school/financial-edge-training
Feedr,feedr.co,http://www.feedr.co,London,United Kingdom,2016,2M,0.0,http://www.linkedin.com/company/feedr-ltd
Fern Labs,fern-labs.ai,http://www.fern-labs.ai,London,United Kingdom,N/A,N/A,N/A,http://www.linkedin.com/company/fern-labs
Fiera Real Estate Europe,fierarealestate.co.uk,http://www.fierarealestate.co.uk,London,United Kingdom,1992,N/A,N/A,http://www.linkedin.com/company/fiera-real-estate-europe
Fimple,fimple.co.uk,http://www.fimple.co.uk,London,United Kingdom,2022,5.5M,0.04615384615384616,http://www.linkedin.com/company/fimpleos
FINOR Tech,finor.io,http://www.finor.io,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/finor-tech
Finspector,finspector.ai,http://www.finspector.ai,London,United Kingdom,2024,N/A,1.0,http://www.linkedin.com/company/finspector-ai
Finster AI,finster.ai,http://www.finster.ai,London,United Kingdom,2023,N/A,0.2,http://www.linkedin.com/company/finster-ai
