Company Name,Domain,Website,City,Country,Founded Year,Revenue,Employee Growth (6mo),LinkedIn URL
Perfumer H,perfumerh.com,http://www.perfumerh.com,London,United Kingdom,2015,N/A,0.0,http://www.linkedin.com/company/perfumer-h
permutable.ai,permutable.ai,http://www.permutable.ai,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/permutableai
Pharos Architectural Controls Ltd,pharoscontrols.com,http://www.pharoscontrols.com,London,United Kingdom,2004,4M,0.0,http://www.linkedin.com/company/pharoscontrols
Phenna Group,phennagroup.com,http://www.phennagroup.com,London,United Kingdom,2019,628.3M,0.0,http://www.linkedin.com/company/phenna-group
Pixels,pixels.ai,http://www.pixels.ai,London,United Kingdom,N/A,N/A,0.5,http://www.linkedin.com/company/pixels-ai
Planda,planda.ai,http://www.planda.ai,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/planda-ai
Plandek,plandek.com,http://www.plandek.com,London,United Kingdom,2017,3M,0.1428571428571428,http://www.linkedin.com/company/plandek
Planky,planky.com,http://www.planky.com,London,United Kingdom,2014,7.5M,N/A,http://www.linkedin.com/company/planky-official
Plantec Ventures,plantec.io,http://www.plantec.io,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/plantec-ltd
Play AI,playai.network,http://www.playai.network,London,United Kingdom,N/A,N/A,-0.2857142857142857,http://www.linkedin.com/company/playainetwork
Playter,playter.co,http://www.playter.co,London,United Kingdom,2021,500K,-1.0,http://www.linkedin.com/company/playtertech
Ploy,ploy.io,http://www.ploy.io,London,United Kingdom,2023,N/A,N/A,http://www.linkedin.com/company/joinploy
Polaron,polaron.ai,http://www.polaron.ai,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/polaron-ai
PolyModels Hub,polymodelshub.com,http://www.polymodelshub.com,London,United Kingdom,2023,N/A,N/A,http://www.linkedin.com/company/polymodels-hub
Ponda,ponda.bio,http://www.ponda.bio,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/pondabio
Pontaq,pontaq.vc,http://www.pontaq.vc,London,United Kingdom,2015,N/A,0.05882352941176471,http://www.linkedin.com/company/pontaq
Preventr®,preventr.co,http://www.preventr.co,London,United Kingdom,2024,N/A,N/A,http://www.linkedin.com/company/preventr
Procure Ai,procure.ai,http://www.procure.ai,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/procureai
ProFinda,profinda.com,http://www.profinda.com,London,United Kingdom,2011,450K,0.0,http://www.linkedin.com/company/profinda-com
ProtonDx,protondx.com,http://www.protondx.com,London,United Kingdom,2020,N/A,0.25,http://www.linkedin.com/company/protondx
Qlarifi,qlarifi.com,http://www.qlarifi.com,London,United Kingdom,2023,N/A,-1.0,http://www.linkedin.com/company/qlarifi
Qualis Flow (Qflow),qualisflow.com,http://www.qualisflow.com,London,United Kingdom,2018,1M,0.0,http://www.linkedin.com/company/qualis-flow
Querio,querio.ai,http://www.querio.ai,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/querioai
Ranger Fire & Security,rangerfs.com,http://www.rangerfs.com,London,United Kingdom,2022,N/A,N/A,http://www.linkedin.com/company/ranger-fire-and-security
Raylo,raylo.com,http://www.raylo.com,London,United Kingdom,2019,38M,0.25,http://www.linkedin.com/company/raylo
Royal College of Art,rca.ac.uk,http://www.rca.ac.uk,London,United Kingdom,1836,125M,0.03125,http://www.linkedin.com/school/royal-college-of-art
Reelables,reelables.com,http://www.reelables.com,London,United Kingdom,2018,N/A,0.5,http://www.linkedin.com/company/reelables
Reflo®,reflo.com,http://www.reflo.com,London,United Kingdom,2001,N/A,0.06666666666666667,http://www.linkedin.com/company/refloofficial
REG Technologies,reg.uk.com,http://www.reg.uk.com,London,United Kingdom,2013,6M,1.0,http://www.linkedin.com/company/reg-uk
Relation,relationrx.com,http://www.relationrx.com,London,United Kingdom,2019,15.2M,0.0,http://www.linkedin.com/company/relation-therapeutics
Replacer,replacer.com,http://www.replacer.com,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/replacer.com
Resurrect Bio,resurrect.bio,http://www.resurrect.bio,London,United Kingdom,2022,3.5M,N/A,http://www.linkedin.com/company/resurrectbio
Retail247,retail247.com,http://www.retail247.com,London,United Kingdom,2014,N/A,0.0,http://www.linkedin.com/company/retail247-consulting-litd
Rightcharge,rightcharge.com,http://www.rightcharge.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/rightcharge
Roarsome,roarsome.com,http://www.roarsome.com,London,United Kingdom,2017,N/A,N/A,http://www.linkedin.com/company/roarsome
Salary Finance,salaryfinance.com,http://www.salaryfinance.com,London,United Kingdom,2015,16.8M,-0.08333333333333333,http://www.linkedin.com/company/salaryfinance
Sandtable,sandtable.com,http://www.sandtable.com,London,United Kingdom,2005,2M,2.0,http://www.linkedin.com/company/sandtable-ltd.
Sanome,sanome.com,http://www.sanome.com,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/sanome
SAPI,sapi.com,http://www.sapi.com,London,United Kingdom,2020,58M,0.07692307692307693,http://www.linkedin.com/company/sapigroup
SatVu,satellitevu.com,http://www.satellitevu.com,London,United Kingdom,2016,6M,0.6666666666666666,http://www.linkedin.com/company/satvu
Saturn,saturnos.com,http://www.saturnos.com,London,United Kingdom,2023,N/A,0.02777777777777778,http://www.linkedin.com/company/saturntechnology
Saulderson Media,saulderson.com,http://www.saulderson.com,London,United Kingdom,2018,N/A,0.0,http://www.linkedin.com/company/saulderson
Save the Children International,savethechildren.net,http://www.savethechildren.net,London,United Kingdom,1919,1.1B,-0.006714517249363279,http://www.linkedin.com/company/save-the-children-international
Scaleup Finance,scaleup.finance,http://www.scaleup.finance,London,United Kingdom,2021,4M,0.0,http://www.linkedin.com/company/scaleup-finance
Scan.com,scan.com,http://www.scan.com,London,United Kingdom,2017,14.4M,0.1081081081081081,http://www.linkedin.com/company/scan.com
Seamflow,seamflow.com,http://www.seamflow.com,London,United Kingdom,2025,N/A,0.0,http://www.linkedin.com/company/seamflow
Searchable,searchable.com,http://www.searchable.com,London,United Kingdom,2025,2.7M,N/A,http://www.linkedin.com/company/trysearchable
Seat Unique,seatunique.com,http://www.seatunique.com,London,United Kingdom,2018,N/A,-0.25,http://www.linkedin.com/company/seat-unique
Sen,sen.com,http://www.sen.com,London,United Kingdom,2014,N/A,-0.04166666666666666,http://www.linkedin.com/company/sen
Shackleton Design and Manufacturing Co. Ltd.,shackleton.com,http://www.shackleton.com,London,United Kingdom,2016,N/A,0.0,http://www.linkedin.com/company/shackletonofficial
SharpCloud from Lumivero,sharpcloud.com,http://www.sharpcloud.com,London,United Kingdom,2012,5.5M,-0.1666666666666667,http://www.linkedin.com/company/sharpcloud-software-ltd-
SheerLuxe,sheerluxe.com,http://www.sheerluxe.com,London,United Kingdom,2007,3.2M,0.0,http://www.linkedin.com/company/sheerluxe
SheMed,shemed.co.uk,http://www.shemed.co.uk,London,United Kingdom,2024,N/A,0.3333333333333333,http://www.linkedin.com/company/shemed
Shop Circle,shopcircle.co,http://www.shopcircle.co,London,United Kingdom,2021,43.3M,0.004608294930875576,http://www.linkedin.com/company/shop-circle
Shuttle,shuttle.dev,http://www.shuttle.dev,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/shuttle-yc
Sidara,sidaracollaborative.com,http://www.sidaracollaborative.com,London,United Kingdom,1986,3B,0.08333333333333333,http://www.linkedin.com/company/sidara
Sidekick,sidekickmoney.com,http://www.sidekickmoney.com,London,United Kingdom,2022,1M,0.0,http://www.linkedin.com/company/sidekick-money
SIME Diagnostics,simedx.com,http://www.simedx.com,London,United Kingdom,2014,N/A,-0.2,http://www.linkedin.com/company/sime-diagnostics
Slipform Engineering,slipformengineering.co.uk,http://www.slipformengineering.co.uk,London,United Kingdom,2015,N/A,0.0,http://www.linkedin.com/company/slipform-engineering
SLNG,slng.ai,http://www.slng.ai,London,United Kingdom,2025,N/A,N/A,http://www.linkedin.com/company/slng-ai
Smiths Interconnect,smithsinterconnect.com,http://www.smithsinterconnect.com,London,United Kingdom,2008,558M,-0.007668711656441718,http://www.linkedin.com/company/smiths-interconnect
SOF (Substance Over Form Ltd.),sof-ltd.com,http://www.sof-ltd.com,London,United Kingdom,2014,N/A,0.0,http://www.linkedin.com/company/substance-over-form-limited
Sokin,sokin.com,http://www.sokin.com,London,United Kingdom,2019,29M,0.2428571428571429,http://www.linkedin.com/company/sokin
Solidatus,solidatus.com,http://www.solidatus.com,London,United Kingdom,2011,3.3M,0.0,http://www.linkedin.com/company/solidatus
SOLIVUS,solivus.com,http://www.solivus.com,London,United Kingdom,2016,2M,0.0,http://www.linkedin.com/company/solivus
Solo60,solo60.com,http://www.solo60.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/solosixty
SOLVE Chemistry,solvechemistry.com,http://www.solvechemistry.com,London,United Kingdom,2024,N/A,N/A,http://www.linkedin.com/company/solve-chemistry
Solve Intelligence,solveintelligence.com,http://www.solveintelligence.com,London,United Kingdom,2023,300K,0.4,http://www.linkedin.com/company/solve-intelligence
Spoon Cereals,spooncereals.co.uk,http://www.spooncereals.co.uk,London,United Kingdom,N/A,1.8M,N/A,http://www.linkedin.com/company/spoon-cereals-uk-ltd
SPORTL,sportl.co.uk,http://www.sportl.co.uk,London,United Kingdom,2025,N/A,0.0,http://www.linkedin.com/company/sportl-app
Spot Ship,spot-ship.com,http://www.spot-ship.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/spot-ship
Springpod,springpod.com,http://www.springpod.com,London,United Kingdom,2016,140.4M,0.0,http://www.linkedin.com/company/springpod
Sprive,sprive.com,http://www.sprive.com,London,United Kingdom,2019,450K,0.9,http://www.linkedin.com/company/sprive-com
Schroders Personal Wealth,spw.com,http://www.spw.com,London,United Kingdom,2019,228M,0.1428571428571428,http://www.linkedin.com/company/spw-wealth
Stacks,stacks.ai,http://www.stacks.ai,London,United Kingdom,N/A,N/A,0.0,http://www.linkedin.com/company/stacks-ai
Stackt,stackt.co.uk,http://www.stackt.co.uk,London,United Kingdom,2021,N/A,-0.1666666666666667,http://www.linkedin.com/company/stacktcouk
Stafford Capital Partners,staffordcp.com,http://www.staffordcp.com,London,United Kingdom,2000,N/A,0.0,http://www.linkedin.com/company/stafford-capital-partners
Stanhope AI,stanhopeai.com,http://www.stanhopeai.com,London,United Kingdom,2021,N/A,N/A,http://www.linkedin.com/company/stanhope-ai
Statera Energy,stateraenergy.co.uk,http://www.stateraenergy.co.uk,London,United Kingdom,2015,1M,0.0,http://www.linkedin.com/company/statera-energy-limited
STAXY,staxy.live,http://www.staxy.live,London,United Kingdom,N/A,N/A,0.0,http://www.linkedin.com/company/staxy
SteelEye,steel-eye.com,http://www.steel-eye.com,London,United Kingdom,2017,18M,0.02173913043478261,http://www.linkedin.com/company/steeleye
stylus,stylus.education,http://www.stylus.education,London,United Kingdom,N/A,N/A,0.0,http://www.linkedin.com/company/s-t-y-l-u-s
SurrealDB,surrealdb.com,http://www.surrealdb.com,London,United Kingdom,2022,2.1M,0.0,http://www.linkedin.com/company/surrealdb
Syd Life AI,syd.life,http://www.syd.life,London,United Kingdom,2015,N/A,0.375,http://www.linkedin.com/company/syd-life-ai
Symfos,symfos.com,http://www.symfos.com,London,United Kingdom,2016,N/A,0.0,http://www.linkedin.com/company/symfos
SYNQ,synq.io,http://www.synq.io,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/getsynq
Synthesia,synthesia.io,http://www.synthesia.io,London,United Kingdom,2017,100M,0.2275449101796407,http://www.linkedin.com/company/synthesia-technologies
Taggstar,taggstar.com,http://www.taggstar.com,London,United Kingdom,2013,722K,0.1111111111111111,http://www.linkedin.com/company/taggstar
Tallarium,tallarium.com,http://www.tallarium.com,London,United Kingdom,2015,N/A,0.0,http://www.linkedin.com/company/tallarium
Tangible,tangible.finance,http://www.tangible.finance,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/tangibleplatform
TDR Capital,tdrcapital.com,http://www.tdrcapital.com,London,United Kingdom,2002,83.5M,0.0,http://www.linkedin.com/company/tdr-capital
Techspert,techspert.com,http://www.techspert.com,London,United Kingdom,2016,2M,0.05714285714285714,http://www.linkedin.com/company/techspert-com
TekCor4,tekcor4.com,http://www.tekcor4.com,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/tekcor4
tem,tem.energy,http://www.tem.energy,London,United Kingdom,2021,18.9M,0.0,http://www.linkedin.com/company/tem-energy
Tembo,tembomoney.com,http://www.tembomoney.com,London,United Kingdom,2020,12M,0.0,http://www.linkedin.com/company/tembo-money
Tenora,tenora.com,http://www.tenora.com,London,United Kingdom,N/A,N/A,1.5,http://www.linkedin.com/company/tenoragroup
Tewke,tewke.com,http://www.tewke.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/tewke
Ben,thanksben.com,http://www.thanksben.com,London,United Kingdom,2019,61.8M,0.0,http://www.linkedin.com/company/thanksben
Creator Fund,thecreatorfund.com,http://www.thecreatorfund.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/creator-fund
Humanoid,thehumanoid.ai,http://www.thehumanoid.ai,London,United Kingdom,2024,N/A,0.26,http://www.linkedin.com/company/humanoidai
Little Door & Co.,thelittledoorandco.com,http://www.thelittledoorandco.com,London,United Kingdom,2014,N/A,0.0,http://www.linkedin.com/company/littledoorandco
Thema,thema.ai,http://www.thema.ai,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/thema-ai
Mindsite,themindsite.com,http://www.themindsite.com,London,United Kingdom,2019,N/A,0.1886792452830189,http://www.linkedin.com/company/themindsite
Thier,thier.io,http://www.thier.io,London,United Kingdom,2022,N/A,N/A,http://www.linkedin.com/company/be-healthier-be-wealthier-use-thier
Thinks Insight & Strategy,thinksinsight.com,http://www.thinksinsight.com,London,United Kingdom,2010,N/A,0.0,http://www.linkedin.com/company/thinksinsight
Thought Machine,thoughtmachine.net,http://www.thoughtmachine.net,London,United Kingdom,2014,60M,0.006896551724137931,http://www.linkedin.com/company/thought-machine
ThreatAware,threataware.com,http://www.threataware.com,London,United Kingdom,2019,N/A,0.5,http://www.linkedin.com/company/threataware
TMT ID,tmtid.com,http://www.tmtid.com,London,United Kingdom,2016,10.3M,0.1,http://www.linkedin.com/company/tmtid
Tods Technology,tods.co.uk,http://www.tods.co.uk,London,United Kingdom,1932,N/A,0.0,http://www.linkedin.com/company/tods-defence-limited
TORI Global,toriglobal.com,http://www.toriglobal.com,London,United Kingdom,2002,2.1M,0.0,http://www.linkedin.com/company/toriglobal
Tottenham Hotspur Football Club,tottenhamhotspur.com,http://www.tottenhamhotspur.com,London,United Kingdom,1882,709M,0.0,http://www.linkedin.com/company/tottenham-hotspur-ltd
Trackershop,trackershop-uk.com,http://www.trackershop-uk.com,London,United Kingdom,2007,1M,N/A,http://www.linkedin.com/company/trackershop-ltd
Track Titan,tracktitan.io,http://www.tracktitan.io,London,United Kingdom,2021,1.1M,0.6666666666666666,http://www.linkedin.com/company/tracktitan
Trade Ledger™,tradeledger.io,http://www.tradeledger.io,London,United Kingdom,2016,6.5M,0.0,http://www.linkedin.com/company/tradeledger
TradingHub,tradinghub.com,http://www.tradinghub.com,London,United Kingdom,2010,39M,0.05555555555555555,http://www.linkedin.com/company/tradinghub
TRAICK,traick.ai,http://www.traick.ai,London,United Kingdom,2021,N/A,0.8888888888888888,http://www.linkedin.com/company/traick
Travolution.com,travolution.com,http://www.travolution.com,London,United Kingdom,2006,N/A,0.0,http://www.linkedin.com/company/travolution-com
TrialView,trialview.com,http://www.trialview.com,London,United Kingdom,2014,N/A,0.0,http://www.linkedin.com/company/trialview
Trig,trig.ai,http://www.trig.ai,London,United Kingdom,2023,N/A,0.0,http://www.linkedin.com/company/trig-ai
Tristan Capital Partners,tristancap.com,http://www.tristancap.com,London,United Kingdom,2009,75.6M,0.0,http://www.linkedin.com/company/tristan-capital-partners
TrueLayer,truelayer.com,http://www.truelayer.com,London,United Kingdom,2016,13.7M,0.2307692307692308,http://www.linkedin.com/company/truelayer
TruFin Labs,trufin.io,http://www.trufin.io,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/trufinlabs
TRYBE,try.be,http://www.try.be,London,United Kingdom,N/A,N/A,0.0,http://www.linkedin.com/company/trybe-software
Tymit,tymit.com,http://www.tymit.com,London,United Kingdom,2017,8M,-0.1111111111111111,http://www.linkedin.com/company/tymit
TympaHealth Technologies Ltd,tympahealth.com,http://www.tympahealth.com,London,United Kingdom,2017,3.2M,0.0,http://www.linkedin.com/company/tympahealth-technologies-ltd
TYTEN,tyten.ai,http://www.tyten.ai,London,United Kingdom,2024,N/A,N/A,http://www.linkedin.com/company/tyten
Uncertainty Experts (part of the Mediazoo Group),uncertaintyexperts.com,http://www.uncertaintyexperts.com,London,United Kingdom,2022,N/A,N/A,http://www.linkedin.com/company/uncertainty-experts
Unfabled,unfabled.co,http://www.unfabled.co,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/unfabled
un:hurd music,unhurdmusic.com,http://www.unhurdmusic.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/unhurdmusic
United Fintech,unitedfintech.com,http://www.unitedfintech.com,London,United Kingdom,2020,3.6M,0.4,http://www.linkedin.com/company/united-fintech
Untamed | B Corp™,untamed.com,http://www.untamed.com,London,United Kingdom,2019,N/A,0.0,http://www.linkedin.com/company/untamedcatfood
Bloom Coaching & Mentoring,usebloom.com,http://www.usebloom.com,London,United Kingdom,2022,12.0M,0.1111111111111111,http://www.linkedin.com/company/usebloom
Valor Real Estate Partners LLP,valorrep.com,http://www.valorrep.com,London,United Kingdom,2016,4.5M,0.0,http://www.linkedin.com/company/valorrealestatepartnersllp
Veloce,veloce.gg,http://www.veloce.gg,London,United Kingdom,2018,N/A,0.0,http://www.linkedin.com/company/vivaveloce
Vennre,vennre.com,http://www.vennre.com,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/vennre
VerbaFlo.AI,verbaflo.ai,http://www.verbaflo.ai,London,United Kingdom,2024,N/A,0.04918032786885246,http://www.linkedin.com/company/verbaflo-ai
Verna,verna.earth,http://www.verna.earth,London,United Kingdom,2020,1.4M,0.0,http://www.linkedin.com/company/verna-earth
VIA Outlets,viaoutlets.com,http://www.viaoutlets.com,London,United Kingdom,2014,1.5B,0.0,http://www.linkedin.com/company/via-outlets
Victory Group,victorygroup.com,http://www.victorygroup.com,London,United Kingdom,2009,4.6M,0.0,http://www.linkedin.com/company/victory-advisors-limited
Vigil,vigil.global,http://www.vigil.global,London,United Kingdom,2015,N/A,0.0625,http://www.linkedin.com/company/vigilglobal
Voice-Swap,voice-swap.ai,http://www.voice-swap.ai,London,United Kingdom,2023,N/A,0.1428571428571428,http://www.linkedin.com/company/voice-swap
VRLab Academy,vrlabacademy.com,http://www.vrlabacademy.com,London,United Kingdom,N/A,N/A,-0.125,http://www.linkedin.com/company/vrlab-academy
Vuealta Consulting,vuealta.com,http://www.vuealta.com,London,United Kingdom,2017,N/A,-0.6551724137931034,http://www.linkedin.com/company/vuealta
W-Wellness,w-wellness.co.uk,http://www.w-wellness.co.uk,London,United Kingdom,N/A,N/A,N/A,http://www.linkedin.com/company/w-wellness
Warn,warnandco.com,http://www.warnandco.com,London,United Kingdom,2013,N/A,0.0,http://www.linkedin.com/company/warn-co
WatchHouse,watchhouse.com,http://www.watchhouse.com,London,United Kingdom,2014,21M,0.1666666666666667,http://www.linkedin.com/company/watchhouse
Wattstor,wattstor.com,http://www.wattstor.com,London,United Kingdom,2013,N/A,0.0,http://www.linkedin.com/company/wattstor
Wavee Ai,wavee.ai,http://www.wavee.ai,London,United Kingdom,2025,N/A,N/A,http://www.linkedin.com/company/wavee-ai
WealthOS,wealthos.cloud,http://www.wealthos.cloud,London,United Kingdom,2019,3.5M,0.06153846153846154,http://www.linkedin.com/company/wealthos
Wealthyhood,wealthyhood.com,http://www.wealthyhood.com,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/wealthyhood-invest
AUDIENCES,weareaudiences.com,http://www.weareaudiences.com,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/audiencetechnologieslimited
Fairgame,wearefairgame.com,http://www.wearefairgame.com,London,United Kingdom,2022,N/A,0.0,http://www.linkedin.com/company/wearefairgame
Patchworks,wearepatchworks.com,http://www.wearepatchworks.com,London,United Kingdom,2014,421K,0.0,http://www.linkedin.com/company/patchworks
Winterflood Business Services,winterfloodbusinessservices.com,http://www.winterfloodbusinessservices.com,London,United Kingdom,2010,N/A,0.1,http://www.linkedin.com/company/winterflood-business-services
Wiser Media,wisermedia.com,http://www.wisermedia.com,London,United Kingdom,2020,N/A,0.0,http://www.linkedin.com/company/curatewiser
Emerald,withemerald.com,http://www.withemerald.com,London,United Kingdom,2024,N/A,0.0,http://www.linkedin.com/company/emerald-health
With Intelligence,withintelligence.com,http://www.withintelligence.com,London,United Kingdom,1998,130M,0.04568527918781726,http://www.linkedin.com/company/withintelligence1
WSG; part of M+C Saatchi Sport + Entertainment,womenssportsgroup.com,http://www.womenssportsgroup.com,London,United Kingdom,2019,N/A,N/A,http://www.linkedin.com/company/women-s-sports-group
Where You At Ltd,wya.world,http://www.wya.world,London,United Kingdom,N/A,N/A,-1.0,http://www.linkedin.com/company/where-you-at
Xpedition,xpedition.co.uk,http://www.xpedition.co.uk,London,United Kingdom,1989,N/A,0.0,http://www.linkedin.com/company/xpedition
YesRef,yesref.com,http://www.yesref.com,London,United Kingdom,2019,N/A,N/A,http://www.linkedin.com/company/yesref
YUV,yuv.co,http://www.yuv.co,London,United Kingdom,N/A,N/A,0.0,http://www.linkedin.com/company/yuvbeauty
Zenion Limited,zenion.com,http://www.zenion.com,London,United Kingdom,2018,N/A,0.0,http://www.linkedin.com/company/zenion
Zero®,zero.co,http://www.zero.co,London,United Kingdom,2020,7.7M,-1.0,http://www.linkedin.com/company/zero-petroleum
ZERØTEC,zerotec.eco,http://www.zerotec.eco,London,United Kingdom,2024,N/A,0.5,http://www.linkedin.com/company/zero-london-ltd
ZNG Cover,zingcover.com,http://www.zingcover.com,London,United Kingdom,2021,N/A,0.0,http://www.linkedin.com/company/zing-cover
ZOE,zoe.com,http://www.zoe.com,London,United Kingdom,2017,87M,-0.02040816326530612,http://www.linkedin.com/company/joinzoe
Zora Ecosystems,zuluecosystems.com,http://www.zuluecosystems.com,London,United Kingdom,2012,6.7M,0.0,http://www.linkedin.com/company/zulu-ecosystems
Zya,zya.co,http://www.zya.co,London,United Kingdom,2018,N/A,0.0,http://www.linkedin.com/company/zya-enzymes
